country,first_name,gender,gender_id,image_URL,last_name,party
Finland,Sari,Female,1,http://ep.ngo.im/mepphoto/96682.jpg,ESSAYAH,PPE
Spain,Rosa,Female,1,http://ep.ngo.im/mepphoto/96811.jpg,"ESTARÀS FERRAGUT",PPE
Portugal,Edite,Female,1,http://ep.ngo.im/mepphoto/28310.jpg,ESTRELA,S&D
"United Kingdom",Jill,Female,1,http://ep.ngo.im/mepphoto/4550.jpg,EVANS,Verts/ALE
"Czech Republic",Hynek,Male,2,http://ep.ngo.im/mepphoto/23695.jpg,FAJMON,ECR
Slovenia,Tanja,Female,1,http://ep.ngo.im/mepphoto/96911.jpg,FAJON,S&D
"Czech Republic",Richard,Male,2,http://ep.ngo.im/mepphoto/23840.jpg,FALBR,S&D
"United Kingdom",Nigel,Male,2,http://ep.ngo.im/mepphoto/4525.jpg,FARAGE,EFD
Sweden,Göran,Male,2,http://ep.ngo.im/mepphoto/4265.jpg,FÄRM,S&D
Germany,Markus,Male,2,http://ep.ngo.im/mepphoto/1917.jpg,FERBER,PPE
Portugal,"José Manuel",Male,2,http://ep.ngo.im/mepphoto/96899.jpg,FERNANDES,PPE
Portugal,Elisa,Female,1,http://ep.ngo.im/mepphoto/28308.jpg,FERREIRA,S&D
Portugal,João,Male,2,http://ep.ngo.im/mepphoto/96706.jpg,FERREIRA,GUE/NGL
Italy,Carlo,Male,2,http://ep.ngo.im/mepphoto/96810.jpg,FIDANZA,PPE
Spain,Santiago,Male,2,http://ep.ngo.im/mepphoto/96729.jpg,"FISAS AYXELA",PPE
Sweden,Christofer,Male,2,http://ep.ngo.im/mepphoto/28126.jpg,FJELLNER,PPE
Slovakia,Monika,Female,1,http://ep.ngo.im/mepphoto/23868.jpg,"FLAŠÍKOVÁ BEŇOVÁ",S&D
France,Hélène,Female,1,http://ep.ngo.im/mepphoto/4385.jpg,FLAUTRE,Verts/ALE
Germany,Knut,Male,2,http://ep.ngo.im/mepphoto/96840.jpg,FLECKENSTEIN,S&D
Germany,Karl-Heinz,Male,2,http://ep.ngo.im/mepphoto/1038.jpg,FLORENZ,PPE
Italy,Lorenzo,Male,2,http://ep.ngo.im/mepphoto/96993.jpg,FONTANA,EFD
